Reference, Value, Footprint, Datasheet, Part Number,
R14,1K,Resistors_SMD:R_0603_HandSoldering,http://www.digikey.com/en/resources/datasheets/yageo/rc-series-l-suffix-datasheet,",RC0603JR-071KL",d
R12,10K,Resistors_SMD:R_0603_HandSoldering,http://www.digikey.com/en/resources/datasheets/yageo/rc-series-l-suffix-datasheet,",RC0603JR-0710KL",d
R13,10K,Resistors_SMD:R_0603_HandSoldering,http://www.digikey.com/en/resources/datasheets/yageo/rc-series-l-suffix-datasheet,",RC0603JR-0710KL",d
C5,1uf,Capacitors_SMD:C_0603,http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_6.pdf,",CC0603ZRY5V7BB105",d
C2,4.7uF,Capacitors_SMD:C_0603,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,",CL10B475KQ8NQNC",d
D2,LED,LEDs:LED_0603,http://www.osram-os.com/Graphics/XPic9/00128792_0.pdf,",LS Q976-NR-1",d
C6,0.1uF,Capacitors_SMD:C_0603,http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_6.pdf,",CC0603ZRY5V9BB104",d
P5,CONN_01X04,Pin_Headers:Pin_Header_Angled_1x04,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,",PPTC041LGBN-RC",d
U5,PT5529B/L2/H2-F,footprints:PT5529,http://www.everlight.com/file/ProductFile/PT5529B-L2-H2-F.pdf,",PT5529B/L2/H2-F",d
R17,1K,Resistors_SMD:R_0603_HandSoldering,http://www.digikey.com/en/resources/datasheets/yageo/rc-series-l-suffix-datasheet,",RC0603JR-071KL",d
D8,LED,LEDs:LED-3MM,http://www.mouser.com/ds/2/149/QED123-890063.pdf,",QED123",d
R25,36,Resistors_SMD:R_0603_HandSoldering,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,",RC0603JR-0736RL",d
R24,1K,Resistors_SMD:R_0603_HandSoldering,http://www.digikey.com/en/resources/datasheets/yageo/rc-series-l-suffix-datasheet,",RC0603JR-071KL",d
Q4,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,",MMBT3904LT1G",d
